id,name,pincode
230,Election Commission,110001
231,Gandhi Smarak Nidhi,110002
232,Guru Gobind Singh Marg,110005
233,Hauz Qazi,110006
234,I A R I,110012
235,I P Estate,110002
236,Inderpuri,110012
237,Indraprastha,110002
238,Jama Masjid,110006
239,Janpath,110001
240,Karol Bagh,110005
241,Krishi Bhawan,110001
242,Lady Harding Medical College,110001
243,Master Prithvi Nath Marg,110005
244,Minto Road,110002
245,Multani Dhanda,110055
246,National Physical Laboratory,110012
247,Nirman Bhawan,110011
248,North Avenue,110001
249,Pahar Ganj,110055
250,Pandara Road,110003
251,Parliament House,110001
252,Patel Nagar East,110008
253,Patel Nagar Central Delhi,110008
254,Patel Nagar South,110008
255,Patel Nagar West,110008
256,Patiala House,110001
257,Pragati Maidan Camp,110001
258,Pragati Maidan,110001
259,Rail Bhawan,110001
260,Rajender Nagar,110060
261,Rashtrapati Bhawan,110004
262,Sansad Marg,110001
263,Sansadiya Soudh,110001
264,Sat Nagar,110005
265,Secretariat North,110001
266,Shastri Bhawan,110001
267,South Avenue,110011
268,Supreme Court,110001
269,Swami Ram Tirth Nagar,110055
270,Udyog Bhawan,110011
271,Union Public Service Commission,110069
272,New Delhi G P O,110001
273,Abul Fazal Enclave I,110025
274,Air Force Station Tugalkabad,110062
275,Alaknanda,110019
276,Ali,110076
277,Aliganj South Delhi,110003
278,Amar Colony,110024
279,Andrewsganj,110049
280,Badarpur South Delhi,110044
281,BSF Camp Tigri,110062
282,BTPS South Delhi,110044
283,C G O Complex,110003
284,C R R I South Delhi,110020
285,Chittranjan Park,110019
286,Dakshinpuri Phase I,110062
287,Dakshinpuri Phase II,110062
288,Dakshinpuri Phase III,110062
289,Dargah Sharif,110013
290,Defence Colony South Delhi,110024
291,Deoli,110062
292,"Distt Court Complex, Saket",110017
293,Dr Ambedkar Nagar South Delhi,110062
294,East Of Kailash Phase I,110065
295,East Of Kailash,110065
296,F F C Okhla,110020
297,Gautam Nagar,110049
298,Golf Links,110003
299,Greater Kailash,110048
300,Gulmohar Park,110049
301,Hamdard Nagar,110062
302,Hari Nagar Ashram,110014
303,Hazrat Nizamuddin,110013
304,Jaitpur,110044
305,Jaitpur South Delhi,110044
306,Jamia Nagar,110025
307,Jeevan Nagar,110014
308,Jungpura,110014
309,Kailash Colony,110048
310,Kalkaji,110019
311,Kasturba Nagar South Delhi,110003
312,Khanpur South Delhi,110062
313,Krishna Market,110024
314,Lajpat Nagar South Delhi,110024
315,Lal Kuan,110044
316,Lodi Road,110003
317,Madanpur Khadar,110076
318,Malviya Nagar South Delhi,110017
319,Masjid Moth,110048
320,MMTC STC Colony,110017
321,Molarband,110044
322,Nehru Nagar South Delhi,110065
323,Nehru Place,110019
324,New Delhi South Ext II,110049
325,New Friends Colony,110025
326,Okhla Industrial Area Phase I,110020
327,Okhla Industrial Estate,110020
328,Panchsheel Enclave,110017
329,Pragati Vihar,110003
330,Pratap Market,110014
331,Pul Pahladpur,110044
332,Pushp Vihar,110017
333,Pushpa Bhawan,110062
334,Sadiq Nagar,110049
335,Safdarjung Air Port,110003
336,Sahpurjat,110049
337,Saket South Delhi,110017
338,Sangam Vihar,110080
339,Sant Nagar South Delhi,110065
340,Sarita Vihar,110076
341,Sarvodya Enclave,110017
342,South Malviya Nagar,110017
343,Sriniwaspuri,110065
344,Sukhdev Vihar,110025
345,Talimabad,110062
346,Tehkhand,110020
347,Tugalkabad,110044
348,Tugalkabad Railway Colony,110044
349,Zakir Nagar,110025
350,505 A B Workshop,110010
351,A F Palam,110010
352,A F Rajokari,110038
353,Anand Niketan,110021
354,Ansari Nagar,110029
355,Aps Colony,110010
356,Arjungarh,110047
357,Aya Nagar,110047
358,Bazar Road,110010
359,Bijwasan,110061
360,C S K M School,110074
361,C V D,110010
362,Chanakya Puri,110021
363,Chandanhoola,110074
364,Chattarpur,110074
365,COD South West Delhi,110010
366,Delhi Cantt,110010
367,Dera,110074
368,Dhaula Kuan,110010
369,Fatehpur Beri,110074
370,Gadaipur,110030
371,Ghitorni,110030
